# Constructed from biom file																																													
#OTU ID	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d16_1	d16_2	d16_3	d16_4	d16_5	d16_6	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d4_1	d4_2	d4_3	d4_4	d4_5	d4_6	d8_1	d8_2	d8_3	d8_4	d8_5	d8_6	donor	food1	food2	m1	m2	m3	m4	m5	m6
da19b56ba6980c22f02ab0c819a96513	13	1802	114	356	20	7521	0	1574	262	125	0	5571	26	41	2784	24	58	5621	162	130	244	59	26	5857	20	4084	3029	45	11	3246	1677	99	127	3	54	2	5	0	0	66	66	11	8	81	47
c04d6f5bbb93db067787277bfb718297	2597	585	531	0	472	484	2716	1398	116	0	408	872	51	82	257	0	9	33	2437	1304	110	0	164	2518	881	54	418	0	421	215	2165	370	166	0	625	2728	0	0	0	94	94	16	13	23	15
be9510d0500eb78548fd9770c862f135	21	4558	1420	26	1481	0	10	4456	393	69	331	2	0	332	11	0	133	0	11	5360	96	0	98	3	0	687	12	22	39	23	5	24	0	0	34	0	2	0	0	142	142	0	2	0	2
c7a955def60879b1293485bf8b05f09f	1958	35	769	0	354	563	1232	224	1161	0	62	1296	1484	115	162	294	3	958	898	19	512	0	35	310	1905	6738	188	0	21	274	608	222	197	3	27	206	9	6	0	32	32	5	6	33	8
ad9f92cf93aea3e55cc8701610e7187f	721	75	1271	0	9	2659	1052	472	228	0	306	1491	13	237	1994	0	422	32	815	693	0	0	1011	2126	470	0	25	0	39	1862	358	17	12	29	7	1109	0	0	0	27	27	4	0	28	8
ba8e1c5364167db3914a4dff5af3e16b	1431	0	2346	7	12	0	3041	0	1051	22	194	0	0	2379	2655	199	0	347	3327	0	110	79	327	0	1727	5	23	91	234	6	4	27	0	22	105	8	92	0	0	24	24	0	5	8	13
52fe59311a15f02ea8ee0d5fbded814c	0	3	262	909	135	0	0	4	47	1661	1308	0	352	42	87	93	4114	1161	0	203	715	1181	1537	0	0	0	145	98	3034	0	8	1714	88	1321	124	0	2359	0	0	27	27	16	0	17	0
d548e76373f8b2975cec61470ae2bedc	24	0	533	0	0	0	331	0	472	0	137	0	632	0	0	0	33	523	1157	0	115	0	656	0	3265	0	238	0	0	284	2123	0	22	7	67	5652	0	0	0	38	38	17	1	6	3
70ed8b5f2f5ba3c71190a309cd7ac734	676	773	381	0	92	477	498	847	197	0	291	92	47	129	33	0	14	124	228	907	267	0	81	47	896	591	293	5	87	255	2137	604	208	0	90	2898	0	0	0	48	48	0	2	11	0
17617b3dc0e47e8d1a5f9fbe1a228a91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7112	7291	0	0	0	0	0	0
9e407827f974ef0d65380d9ab16eeb6d	1421	31	452	0	761	358	666	56	803	2	236	759	266	58	263	899	5	377	468	15	171	2	201	512	603	1405	1008	13	32	981	587	95	138	59	32	510	26	0	0	36	36	0	4	16	4
613e4507cbb9c615a8220811aa92af11	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	1	0	0	0	0	0	0	0	0	3439	3439	795	873	606	2356
65adec476f3d705b33279977bb4dd440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6143	6380	0	0	0	0	0	0
e3c97b318ea7f5a595b4e32f77695622	23	33	611	476	12	1107	34	24	439	283	1166	1462	96	116	78	0	58	322	74	0	110	468	279	828	195	137	355	15	15	2283	13	25	37	67	303	375	131	0	0	16	16	0	8	17	0
